mode,seed,n_cal,n_test,test_accuracy,hpre_layer,hpre_sign,hpre_cal_auc,logit_layer,logit_sign,logit_cal_auc,hnorm_layer,hnorm_sign,hnorm_cal_auc,logit_base_auroc,logit_plus_hpre_auroc,logit_delta,full_base_auroc,full_plus_hpre_auroc,full_delta
fixed_seed42_layers,10,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7488126899696049,0.7537044072948328,0.004891717325227862,0.7497150455927052,0.7646751519756839,0.014960106382978733
dynamic_cal_selected_layers,11,700,300,0.6266666666666667,0,-1,0.685810663385088,14,1,0.7263634697457649,13,1,0.7020483683746586,0.7178476443768996,0.7178951367781156,4.749240121593168e-05,0.7181325987841946,0.7189399696048632,0.0008073708206686181
fixed_seed42_layers,11,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7180851063829787,0.7266337386018238,0.008548632218845054,0.7197473404255319,0.7215995440729484,0.0018522036474164505
dynamic_cal_selected_layers,12,700,300,0.6266666666666667,30,-1,0.6876740065806125,14,1,0.723020797877447,13,1,0.7044048211277808,0.7257313829787234,0.729245820668693,0.0035144376899696184,0.7215045592705168,0.7354673252279635,0.013962765957446721
fixed_seed42_layers,12,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7253039513677811,0.7323803191489361,0.007076367781154946,0.7203647416413373,0.7394091945288753,0.019044452887537977
dynamic_cal_selected_layers,13,700,300,0.6266666666666667,0,-1,0.6867750634933103,14,1,0.7262761937178714,13,1,0.698278043969663,0.7179901215805472,0.7108662613981762,-0.007123860182370989,0.7098689209726443,0.7142857142857143,0.004416793313069989
fixed_seed42_layers,13,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7166128419452887,0.7149031155015199,-0.0017097264437688775,0.7076842705167172,0.7267287234042553,0.019044452887538088
dynamic_cal_selected_layers,14,700,300,0.6266666666666667,0,-1,0.6731120013265957,13,1,0.7088122605363985,13,1,0.6860855828729523,0.7562689969604863,0.7578837386018237,0.0016147416413373472,0.754654255319149,0.7619680851063829,0.007313829787233939
fixed_seed42_layers,14,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7562689969604863,0.7574563069908815,0.0011873100303951833,0.754654255319149,0.7685220364741642,0.01386778115501519
dynamic_cal_selected_layers,15,700,300,0.6266666666666667,30,-1,0.663227991167666,14,1,0.7122072980214524,14,1,0.6854571954721198,0.7490501519756839,0.744870820668693,-0.0041793313069908855,0.7504274316109424,0.7408814589665653,-0.009545972644377065
fixed_seed42_layers,15,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7625854863221884,0.7611132218844985,-0.0014722644376898852,0.765150075987842,0.759308510638298,-0.005841565349544053
dynamic_cal_selected_layers,16,700,300,0.6266666666666667,30,-1,0.6875518201415616,13,1,0.7174700425034257,13,1,0.7037066129046334,0.7371770516717325,0.7462955927051673,0.00911854103343479,0.7353723404255319,0.7512822948328268,0.015909954407294924
fixed_seed42_layers,16,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7371770516717325,0.7462955927051673,0.00911854103343479,0.7353723404255319,0.7512822948328268,0.015909954407294924
dynamic_cal_selected_layers,17,700,300,0.6266666666666667,0,-1,0.6776416271742641,14,1,0.720289058204383,13,1,0.6946997268260326,0.7321903495440729,0.7253514437689971,-0.006838905775075843,0.7275835866261398,0.7314779635258359,0.0038943768996961836
fixed_seed42_layers,17,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7320478723404255,0.7289133738601825,-0.003134498480242942,0.7269186930091186,0.7394566869300911,0.012537993920972546
dynamic_cal_selected_layers,18,700,300,0.6266666666666667,0,-1,0.6903097426229938,13,1,0.7188751865525096,13,1,0.7032789603679557,0.7331876899696048,0.7359422492401215,0.00275455927051671,0.7339950607902735,0.7397891337386018,0.005794072948328233
fixed_seed42_layers,18,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7331876899696048,0.738981762917933,0.005794072948328233,0.7339950607902735,0.7422112462006079,0.008216185410334309
dynamic_cal_selected_layers,19,700,300,0.6266666666666667,0,-1,0.6927054695886681,13,1,0.7382941027587953,13,1,0.7093533719093378,0.6857427811550151,0.6868825987841946,0.0011398176291794737,0.6848404255319147,0.6901595744680851,0.005319148936170359
fixed_seed42_layers,19,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.6857427811550151,0.6899696048632219,0.004226823708206817,0.6848404255319147,0.70165273556231,0.016812310030395294
dynamic_cal_selected_layers,20,700,300,0.6266666666666667,0,-1,0.6764852198046762,14,1,0.7157594323567146,13,1,0.6916188830413951,0.7400265957446809,0.7371295592705167,-0.002897036474164172,0.7398841185410333,0.7394091945288753,-0.0004749240121579845
fixed_seed42_layers,20,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7400740881458966,0.7432560790273556,0.003181990881458985,0.7381268996960487,0.7490501519756839,0.010923252279635198
dynamic_cal_selected_layers,21,700,300,0.6266666666666667,30,-1,0.6824985381265327,13,1,0.714188463854633,13,1,0.6977805706106703,0.7442059270516717,0.745108282674772,0.0009023556231003704,0.7377944528875379,0.751709726443769,0.013915273556231122
fixed_seed42_layers,21,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7442059270516717,0.745108282674772,0.0009023556231003704,0.7377944528875379,0.751709726443769,0.013915273556231122
